iter	Passed	Remaining
0	174	174655
1	237	118746
2	384	127797
3	533	132859
4	697	138878
5	789	130794
6	983	139562
7	1080	133932
8	1295	142616
9	1513	149840
10	1709	153662
11	1891	155734
12	2126	161430
13	2375	167272
14	2575	169120
15	2814	173091
16	3038	175702
17	3214	175343
18	3466	179005
19	3696	181152
20	3881	180969
21	4105	182506
22	4320	183534
23	4620	187882
24	4953	193168
25	5238	196259
26	5560	200379
27	5954	206693
28	6507	217891
29	6943	224499
30	7027	219663
31	7215	218255
32	7371	215993
33	7490	212824
34	7677	211676
35	7787	208538
36	7917	206072
37	8000	202530
38	8150	200837
39	8335	200062
40	8399	196467
41	8580	195710
42	8596	191318
43	8656	188072
44	8804	186844
45	8937	185348
46	9051	183534
47	9250	183463
48	9433	183082
49	9609	182573
50	9716	180811
51	9928	181010
52	10102	180515
53	10342	181190
54	10500	180421
55	10619	179008
56	10793	178561
57	10850	176228
58	11035	176000
59	11211	175648
60	11392	175370
61	11661	176428
62	11946	177684
63	12167	177951
64	12421	178673
65	12757	180533
66	12954	180401
67	13194	180845
68	13420	181080
69	13725	182356
70	14082	184256
71	14532	187303
72	14929	189583
73	15256	190907
74	15571	192049
75	15902	193346
76	16159	193703
77	16475	194746
78	16603	193565
79	16988	195365
80	17382	197215
81	17768	198924
82	17992	198780
83	18332	199908
84	18647	200735
85	18927	201164
86	19117	200624
87	19298	200004
88	19427	198863
89	19662	198811
90	19817	197961
91	20284	200203
92	20555	200466
93	20839	200858
94	21291	202825
95	21555	202979
96	21772	202687
97	22128	203671
98	22505	204825
99	22828	205454
100	23128	205866
101	23526	207126
102	23807	207335
103	24063	207319
104	24230	206535
105	24406	205842
106	24517	204617
107	24720	204170
108	25074	204963
109	25353	205133
110	25754	206269
111	26192	207668
112	26470	207779
113	26865	208797
114	27056	208219
115	27339	208342
116	27544	207879
117	27756	207465
118	28201	208784
119	28743	210788
120	28932	210179
121	29061	209146
122	29146	207815
123	29313	207084
124	29381	205670
125	29413	204025
126	29587	203386
127	29647	201975
128	29705	200570
129	29876	199940
130	30030	199209
131	30090	197870
132	30284	197419
133	30340	196079
134	30441	195050
135	30529	193952
136	30625	192918
137	30701	191774
138	30874	191246
139	30945	190094
140	31122	189604
141	31220	188644
142	31441	188430
143	31565	187641
144	31671	186749
145	31850	186305
146	32100	186272
147	32281	185835
148	32485	185537
149	32720	185414
150	32928	185143
151	33207	185261
152	33411	184966
153	33654	184878
154	33908	184857
155	34279	185461
156	34503	185263
157	34750	185187
158	35032	185300
159	35369	185687
160	35697	186026
161	35923	185828
162	36270	186248
163	36734	187256
164	37203	188270
165	37370	187753
166	37488	186991
167	37651	186465
168	37825	185995
169	37930	185191
170	38090	184661
171	38264	184204
172	38453	183822
173	38570	183099
174	38706	182472
175	38835	181819
176	39038	181519
177	39259	181300
178	39496	181156
179	39791	181272
180	40115	181518
181	40495	182009
182	40822	182251
183	41175	182605
184	41457	182639
185	41719	182579
186	42007	182632
187	42181	182188
188	42421	182032
189	42669	181908
190	42856	181521
191	43050	181172
192	43228	180752
193	43440	180479
194	43543	179756
195	43716	179328
196	43905	178963
197	44091	178591
198	44204	177928
199	44396	177584
200	44575	177192
201	44701	176594
202	44844	176065
203	44984	175527
204	45169	175168
205	45180	174141
206	45191	173123
207	45379	172790
208	45470	172092
209	45648	171723
210	45873	171536
211	46091	171321
212	46296	171056
213	46457	170633
214	46732	170628
215	47009	170628
216	47229	170419
217	47497	170382
