iter	Passed	Remaining
0	528	527649
1	1060	529406
2	1501	498924
3	2019	502950
4	2518	501108
5	3016	499673
6	3530	500829
7	3950	489835
8	4407	485272
9	5113	506217
10	5587	502344
11	5999	493919
12	6438	488821
13	6849	482433
14	7303	479609
15	7764	477490
16	8195	473875
17	8668	472891
18	9105	470140
19	9498	465416
20	9975	465043
21	10544	468770
22	11026	468382
23	11470	466482
24	11975	467028
25	12553	470282
26	13035	469772
27	13468	467559
28	13969	467738
29	14545	470308
30	15089	471664
31	15556	470570
32	16106	471976
33	16658	473289
34	17114	471871
35	17321	463837
36	17627	458790
37	17974	455026
38	18245	449588
39	18548	445166
40	18876	441536
41	19300	440226
42	19817	441064
43	20324	441594
44	20939	444388
45	21386	443531
46	21918	444432
47	22326	442816
48	22885	444169
49	23329	443260
50	23836	443552
51	24361	444129
52	24918	445248
53	25479	446365
54	25999	446723
55	26619	448721
56	27143	449058
57	27638	448890
58	28148	448947
59	28764	450638
60	29288	450848
61	29760	450254
62	30317	450917
63	30801	450472
64	31344	450877
65	31894	451349
66	32424	451524
67	32940	451481
68	33371	450274
69	33793	448966
70	34209	447611
71	34623	446261
72	34981	444222
73	35431	443367
74	35852	442184
75	36257	440812
76	36880	442082
77	37230	440085
78	37715	439691
79	38103	438188
80	38563	437524
81	38856	435004
82	39078	431747
83	39448	430181
84	39953	430091
85	40481	430237
86	40966	429912
87	41466	429746
88	41994	429857
89	42436	429080
90	42819	427722
91	43203	426396
92	43629	425505
93	44188	425898
94	44631	425177
95	45143	425102
96	45617	424670
97	46108	424387
98	46680	424841
99	46986	422880
100	47358	421535
101	47805	420878
102	48096	418860
103	48476	417645
104	48991	417595
105	49262	415479
106	49639	414281
107	49931	412393
108	50381	411833
109	50698	410199
110	51239	410374
111	51809	410773
112	52085	408847
113	52331	406714
114	52640	405102
115	53106	404711
116	53643	404849
117	54130	404601
118	54455	403154
119	54947	402944
120	55500	403180
121	56142	404043
122	56632	403791
123	57099	403382
124	57681	403771
125	58082	402888
126	58713	403597
127	59388	404586
128	60002	405134
129	60471	404693
130	60897	403966
131	61325	403259
132	61797	402844
133	62383	403166
134	62841	402654
135	63291	402088
136	63612	400712
137	64032	399971
138	64578	400013
139	65098	399890
140	65523	399184
141	65982	398683
142	66432	398128
143	66997	398260
144	67294	396807
145	67797	396570
146	68158	395502
147	68639	395140
148	69122	394789
149	69753	395272
150	70149	394418
151	70575	393735
152	71111	393666
153	71538	392998
154	71929	392129
155	72402	391717
156	72790	390845
157	73163	389895
158	73759	390136
159	74266	389901
160	74701	389281
161	75134	388656
162	75634	388381
163	76131	388083
164	76668	387988
165	77042	387066
166	77439	386272
167	77956	386072
168	78547	386230
169	79100	386195
170	79625	386021
171	80163	385901
172	80638	385479
173	81195	385446
174	81764	385460
175	82238	385024
176	82723	384642
177	83321	384776
178	83844	384559
179	84276	383925
180	84751	383490
181	85342	383571
182	85868	383359
183	86295	382702
184	86856	382640
185	87399	382491
186	88090	382981
187	88522	382340
188	88931	381607
189	89406	381152
190	89876	380679
191	90406	380460
192	90905	380108
193	91365	379591
194	91736	378706
195	92356	378851
196	93003	379094
197	93555	378947
198	94130	378886
199	94444	377776
200	94996	377621
201	95483	377205
202	95973	376802
203	96386	376095
204	96751	375205
205	97207	374671
206	97629	374011
207	98157	373753
208	98668	373428
209	99116	372867
210	99720	372887
211	100219	372512
212	100783	372379
213	101135	371460
214	101632	371077
215	102080	370513
216	102632	370328
217	103132	369952
218	103414	368798
219	103568	367198
220	103717	365591
221	103818	363830
222	103925	362106
223	104042	360433
224	104224	358994
225	104416	357604
226	104480	355785
227	104565	354056
228	104724	352588
229	104875	351105
230	104983	349489
231	105118	347979
232	105283	346578
233	105302	344707
234	105358	342976
235	105503	341544
236	105614	340016
237	105752	338584
238	105942	337330
239	106081	335923
240	106194	334447
241	106399	333267
