iter	Passed	Remaining
0	13	55330
1	24	48630
2	35	46862
3	46	46821
4	56	45538
5	67	45200
6	79	45172
7	90	44942
8	102	45270
9	113	45160
10	123	44935
11	135	45099
12	146	45048
13	157	44930
14	168	44890
15	180	44889
16	190	44620
17	203	44989
18	214	44888
19	224	44747
20	236	44828
21	247	44731
22	257	44589
23	268	44513
24	279	44409
25	289	44303
26	300	44237
27	311	44158
28	321	44067
29	332	43975
30	343	44024
31	354	43918
32	364	43804
33	374	43739
34	385	43726
35	396	43656
36	406	43583
37	417	43532
38	427	43407
39	439	43464
40	451	43595
41	461	43515
42	472	43460
43	482	43415
44	493	43414
45	504	43388
46	517	43529
47	528	43512
48	538	43455
49	549	43382
50	560	43383
51	571	43357
52	581	43312
53	592	43288
54	603	43252
55	613	43199
56	623	43161
57	635	43161
58	645	43107
59	655	43058
60	667	43080
61	676	42999
62	687	42994
63	700	43055
64	713	43202
65	725	43228
66	735	43199
67	746	43169
68	757	43153
69	767	43109
70	778	43069
71	788	43030
72	799	42998
73	809	42960
74	819	42906
75	830	42863
76	840	42842
77	851	42794
78	861	42749
79	871	42711
80	882	42700
81	892	42649
82	903	42621
83	915	42698
84	926	42685
85	937	42679
86	950	42739
87	960	42717
88	971	42707
89	983	42746
90	994	42738
91	1007	42783
92	1017	42765
93	1028	42722
94	1038	42695
95	1049	42686
96	1060	42656
97	1070	42611
98	1081	42598
99	1091	42577
100	1102	42543
101	1114	42595
102	1125	42584
103	1135	42542
104	1145	42501
105	1156	42477
106	1166	42439
107	1176	42397
108	1186	42351
109	1196	42312
110	1207	42294
111	1217	42267
112	1227	42240
113	1238	42215
114	1248	42186
115	1259	42182
116	1270	42174
117	1283	42211
118	1295	42240
119	1305	42227
120	1316	42199
121	1328	42213
122	1338	42198
123	1350	42224
124	1362	42244
125	1373	42225
126	1383	42198
127	1394	42181
128	1405	42164
129	1416	42171
130	1427	42166
131	1437	42129
132	1449	42147
133	1460	42141
134	1471	42114
135	1481	42089
136	1491	42043
137	1501	42028
138	1512	42007
139	1522	41974
140	1532	41946
141	1543	41937
142	1554	41926
143	1564	41902
144	1574	41871
145	1585	41859
146	1595	41828
147	1605	41797
148	1615	41766
149	1626	41750
150	1637	41737
151	1648	41732
152	1658	41710
153	1671	41732
154	1681	41699
155	1691	41692
156	1705	41740
157	1715	41717
158	1726	41705
159	1737	41691
160	1747	41670
161	1758	41658
162	1770	41669
163	1782	41689
164	1795	41731
165	1806	41719
166	1816	41694
167	1827	41679
168	1837	41646
169	1847	41617
170	1856	41579
171	1867	41562
172	1878	41565
173	1890	41558
174	1900	41532
175	1910	41507
176	1919	41461
177	1929	41434
178	1940	41412
179	1950	41400
180	1960	41375
181	1971	41353
182	1981	41335
183	1992	41323
184	2002	41299
185	2013	41286
186	2023	41261
187	2035	41275
188	2046	41271
189	2057	41267
190	2068	41256
191	2078	41232
192	2089	41207
193	2099	41187
194	2109	41164
195	2119	41135
196	2128	41097
197	2138	41061
198	2148	41036
199	2158	41016
200	2170	41016
201	2180	40996
202	2191	40985
203	2200	40951
204	2210	40918
205	2220	40897
206	2230	40871
207	2240	40846
208	2249	40809
209	2259	40776
210	2270	40767
211	2280	40739
212	2290	40731
213	2300	40698
214	2309	40663
215	2319	40630
216	2329	40609
217	2339	40584
218	2349	40564
219	2358	40531
220	2383	40763
221	2393	40735
222	2403	40701
223	2413	40685
224	2425	40695
225	2436	40682
226	2445	40653
227	2455	40626
228	2465	40604
229	2475	40577
230	2485	40557
231	2494	40513
232	2503	40469
233	2512	40428
234	2521	40396
235	2532	40395
236	2541	40360
237	2551	40325
238	2561	40309
239	2571	40279
240	2580	40255
241	2591	40235
242	2600	40212
243	2610	40178
244	2619	40147
245	2629	40131
246	2638	40096
247	2648	40073
248	2658	40051
249	2667	40015
250	2677	39988
251	2686	39955
252	2695	39922
253	2705	39904
254	2715	39876
255	2725	39863
256	2736	39848
257	2745	39821
258	2754	39791
259	2764	39764
260	2773	39738
261	2785	39738
262	2795	39721
263	2804	39694
264	2814	39661
265	2824	39647
266	2834	39630
267	2843	39601
268	2853	39576
269	2863	39558
270	2872	39531
271	2883	39515
272	2893	39495
273	2902	39471
274	2912	39453
275	2922	39438
276	2934	39447
277	2944	39423
278	2954	39400
279	2964	39380
280	2975	39376
281	2984	39351
282	2994	39330
283	3004	39313
284	3016	39318
285	3025	39293
286	3034	39258
287	3043	39228
288	3052	39202
289	3062	39173
290	3075	39196
291	3084	39169
292	3093	39142
293	3103	39118
294	3112	39095
295	3123	39085
296	3132	39051
297	3140	39011
298	3149	38979
299	3158	38953
300	3169	38946
301	3177	38909
302	3186	38874
303	3195	38851
304	3204	38819
305	3213	38798
306	3223	38780
307	3233	38760
308	3242	38734
309	3251	38701
310	3260	38673
311	3268	38640
312	3277	38611
313	3286	38577
314	3294	38543
315	3303	38515
316	3312	38482
317	3321	38453
318	3331	38447
319	3340	38417
320	3349	38383
321	3357	38347
322	3365	38313
323	3374	38284
324	3383	38257
325	3392	38229
326	3400	38197
327	3409	38167
328	3418	38141
329	3426	38110
330	3435	38085
331	3444	38054
332	3453	38031
333	3462	38001
334	3472	37988
335	3481	37963
336	3490	37936
337	3499	37915
338	3508	37890
339	3517	37862
340	3527	37853
341	3539	37855
342	3549	37841
343	3557	37812
344	3566	37783
345	3576	37768
346	3585	37744
347	3593	37711
348	3603	37695
349	3614	37692
350	3623	37669
351	3632	37645
352	3640	37612
353	3649	37589
354	3657	37558
355	3666	37528
356	3675	37506
357	3684	37479
358	3692	37446
359	3699	37410
360	3709	37390
361	3717	37359
362	3726	37337
363	3735	37311
364	3743	37283
365	3751	37251
366	3759	37211
367	3767	37182
